"","instant_book","rating_checkin","person_capacity","rating_cleanliness","tax","lon","cancel_policy","price","lat","host_id","review_score_a","rev_count","bed_type","accuracy_rating","rating_communication","satisfaction_guest","hosting_id","url","cleaning_fee","nightly_price","room_type","TV","Cable.TV","Internet","Wireless.Internet","Air.conditioning","Wheelchair accessible","Pool","Kitchen","Free.parking.on.premises","Smoking.allowed","Pets.allowed","Doorman","Gym","Breakfast","Elevator.in.building","Hot.tub","Indoor.fireplace","Buzzer/wireless.intercom","Heating","Family/kid.friendly","Suitable.for.events","Washer","Dryer","Essentials","Shampoo","Hangers","Hair.dryer","Iron","Laptop.friendly.workspace","Self.Check-In"
"82","True",9,4,9,13,-81.4653925047767,5,54,28.4573086960425,5472668,4.5,35,"Real Bed",8,9,86,6182327,"https://www.airbnb.com/rooms/6182327",50,"$54","Entire home/apt",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"83","True",10,4,9,14,-81.4067443967224,5,74,28.5826824912035,56824797,4.5,46,"Real Bed",10,10,93,11142694,"https://www.airbnb.com/rooms/11142694",40,"$74","Entire home/apt",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"84","False",10,4,9,9,-81.3674785492913,3,72,28.5024824620857,2842583,5,156,"Real Bed",10,10,98,579710,"https://www.airbnb.com/rooms/579710",0,"$72","Private room",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"85","False",10,2,9,11,-81.405878407404,4,59,28.5454817666161,6271744,5,8,"Real Bed",10,10,98,13565256,"https://www.airbnb.com/rooms/13565256",35,"$59","Private room",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"86","True",10,4,10,4,-81.4336480769473,5,24,28.5175480799855,22068201,4.5,72,"Real Bed",10,10,93,8268255,"https://www.airbnb.com/rooms/8268255",10,"$24","Private room",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"87","True",9,2,8,5,-81.4728397373491,4,35,28.534017520794,40746699,4.5,60,"Real Bed",9,9,86,8459205,"https://www.airbnb.com/rooms/8459205",10,"$35","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"88","False",10,2,9,6,-81.4879560772176,5,24,28.5421041228612,66658840,4.5,32,"Real Bed",9,10,91,12423432,"https://www.airbnb.com/rooms/12423432",25,"$24","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"89","True",9,2,9,2,-81.2448958388119,3,23,28.5635407335739,2080048,4.5,135,"Real Bed",9,10,91,6245499,"https://www.airbnb.com/rooms/6245499",0,"$23","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"90","False",10,2,10,6,-81.4681299805128,4,38,28.5288352672483,77106070,5,16,"Real Bed",10,10,95,13539968,"https://www.airbnb.com/rooms/13539968",15,"$38","Private room",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"91","True",10,2,8,8,-81.3525263246534,5,50,28.5178476644,63618640,4.5,32,"Real Bed",9,10,91,11922719,"https://www.airbnb.com/rooms/11922719",15,"$50","Entire home/apt",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"92","True",9,1,10,3,-81.4390449055972,5,24,28.51996946058,61879526,5,5,"Real Bed",9,9,96,14138060,"https://www.airbnb.com/rooms/14138060",7,"$24","Shared room",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"93","True",10,3,10,6,-81.4109627535613,4,35,28.4944012026246,98721724,5,4,"Real Bed",10,10,100,15412598,"https://www.airbnb.com/rooms/15412598",20,"$35","Private room",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"94","False",10,2,10,6,-81.4459102530802,3,49,28.42741451879,35201603,5,31,"Real Bed",10,10,96,7918680,"https://www.airbnb.com/rooms/7918680",0,"$49","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"95","True",9,1,8,3,-81.4022626159373,5,20,28.5153642626221,26026771,4.5,61,"Couch",9,9,87,6377806,"https://www.airbnb.com/rooms/6377806",5,"$20","Shared room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"96","False",10,1,10,4,-81.2790583774864,5,36,28.5435096416945,60654652,4.5,13,"Real Bed",9,9,91,11521831,"https://www.airbnb.com/rooms/11521831",0,"$36","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97","True",9,2,9,3,-81.2771769572652,5,31,28.5067772166253,36379585,4.5,49,"Real Bed",9,10,88,9378339,"https://www.airbnb.com/rooms/9378339",0,"$31","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"98","False",10,3,10,5,-81.4054952333349,4,40,28.6351353709263,1815471,5,30,"Real Bed",10,10,97,13062999,"https://www.airbnb.com/rooms/13062999",5,"$40","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"99","False",10,2,9,5,-81.3784910280934,3,38,28.4547160860583,67422620,5,6,"Real Bed",10,10,100,15377817,"https://www.airbnb.com/rooms/15377817",9,"$38","Entire home/apt",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"100","True",9,2,10,11,-81.3078390471312,3,89,28.4620887516421,6507148,4.5,121,"Real Bed",10,9,94,2518630,"https://www.airbnb.com/rooms/2518630",0,"$89","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"101","False",10,2,10,7,-81.356875141358,3,59,28.5577482559044,62001676,5,67,"Real Bed",10,10,98,11675391,"https://www.airbnb.com/rooms/11675391",0,"$59","Entire home/apt",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"102","True",10,2,10,12,-81.3431004399613,4,75,28.5106051389415,66038610,5,20,"Real Bed",10,10,98,12814714,"https://www.airbnb.com/rooms/12814714",25,"$75","Entire home/apt",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"103","False",10,2,9,3,-81.2015747252011,4,30,28.5429791728226,23543168,5,80,"Real Bed",10,10,97,5229357,"https://www.airbnb.com/rooms/5229357",0,"$30","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"104","True",9,2,8,5,-81.4726473921331,4,33,28.5346788991815,40746699,4.5,38,"Real Bed",9,10,89,10810252,"https://www.airbnb.com/rooms/10810252",10,"$33","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"105","True",10,2,10,6,-81.4763103669135,5,29,28.4010702893969,7269816,4.5,20,"Real Bed",9,9,94,10176024,"https://www.airbnb.com/rooms/10176024",25,"$29","Private room",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106","True",10,2,9,9,-81.4318555851029,5,37,28.485163145096,47711832,5,58,"Real Bed",10,10,95,9773003,"https://www.airbnb.com/rooms/9773003",35,"$37","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"107","True",10,3,10,6,-81.502341581577,5,50,28.3724974546607,86693834,5,21,"Real Bed",10,10,100,14246331,"https://www.airbnb.com/rooms/14246331",0,"$50","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"108","False",10,2,9,12,-81.3301639950351,4,80,28.5062721355968,71841088,5,15,"Real Bed",10,10,95,13370127,"https://www.airbnb.com/rooms/13370127",30,"$80","Entire home/apt",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"109","True",9,3,9,5,-81.4484409377285,5,30,28.4560577547338,84357096,4,17,"Real Bed",10,10,84,14058413,"https://www.airbnb.com/rooms/14058413",10,"$30","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110","False",10,2,10,7,-81.3497501545589,5,49,28.5056439170069,9570236,5,33,"Real Bed",10,10,99,4484962,"https://www.airbnb.com/rooms/4484962",10,"$49","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"111","False",10,4,10,5,-81.277480033677,5,42,28.5054406902121,23709943,5,80,"Real Bed",10,10,95,4573966,"https://www.airbnb.com/rooms/4573966",0,"$42","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"112","False",10,2,10,4,-81.2512988432755,5,39,28.4268613496625,22157514,5,43,"Real Bed",10,10,96,4268200,"https://www.airbnb.com/rooms/4268200",0,"$39","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"113","False",10,6,10,9,-81.4352159795353,5,53,28.5167443259029,22068201,4.5,102,"Real Bed",10,10,93,4258655,"https://www.airbnb.com/rooms/4258655",20,"$53","Entire home/apt",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
